Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
Bohemian Rhapsody,PG-13,2018,216.43,"['Biography', ' Drama', ' Music']",134,8.0,428789.0,55.0
Boogie Nights,R,1997,26.4,['Drama'],155,7.9,232141.0,15.0
Boyhood,R,2014,25.38,['Drama'],165,7.9,329190.0,4.0
Boyz n the Hood,R,1991,57.5,"['Crime', ' Drama']",112,7.7,120626.0,6.5
Braveheart,R,1995,75.6,"['Biography', ' Drama', ' History']",178,8.3,937129.0,72.0
Brazil,R,1985,9.93,"['Drama', ' Sci-Fi']",132,7.9,183441.0,15.0
Bridge of Spies,PG-13,2015,72.31,"['Drama', ' History', ' Thriller']",142,7.6,279267.0,40.0
Brokeback Mountain,R,2005,83.04,"['Drama', ' Romance']",134,7.7,315291.0,13.9
Butch Cassidy and the Sundance Kid,PG,1969,102.31,"['Biography', ' Crime', ' Drama']",110,8.0,198357.0,6.0
Once Upon a Time in the West,PG-13,1968,5.32,['Western'],165,8.5,292453.0,5.0
Captain America: Civil War,PG-13,2016,408.08,"['Action', ' Adventure', ' Sci-Fi']",147,7.8,639186.0,250.0
Captain America: The Winter Soldier,PG-13,2014,259.77,"['Action', ' Adventure', ' Sci-Fi']",136,7.7,714843.0,170.0
Captain Phillips,PG-13,2013,107.1,"['Biography', ' Crime', ' Drama']",134,7.8,409415.0,55.0
Casablanca,PG,1942,1.02,"['Drama', ' Romance', ' War']",102,8.5,506514.0,1.039
Casino,R,1995,42.44,"['Crime', ' Drama']",178,8.2,448462.0,52.0
Casino Royale,PG-13,2006,167.45,"['Action', ' Adventure', ' Thriller']",144,8.0,567202.0,102.0
Casino Royale,PG-13,2006,167.45,"['Action', ' Adventure', ' Thriller']",144,8.0,567202.0,12.0
Cast Away,PG-13,2000,233.63,"['Adventure', ' Drama', ' Romance']",143,7.8,506725.0,85.0
Changeling,R,2008,35.74,"['Biography', ' Crime', ' Drama']",141,7.7,232153.0,55.0
Children of Men,R,2006,35.55,"['Drama', ' Sci-Fi', ' Thriller']",109,7.9,452907.0,76.0
Cinderella Man,PG-13,2005,61.65,"['Biography', ' Drama', ' History']",144,8.0,172790.0,88.0
Clerks,R,1994,3.15,['Comedy'],92,7.7,208537.0,0.027
Close Encounters of the Third Kind,PG,1977,132.09,"['Drama', ' Sci-Fi']",138,7.6,178954.0,20.0
Coco,PG,2017,209.73,"['Animation', ' Adventure', ' Family']",105,8.4,345796.0,175.0
Control,R,2007,0.87,"['Biography', ' Drama', ' Music']",122,7.7,60405.0,6.4
Coraline,PG,2009,75.29,"['Animation', ' Drama', ' Family']",100,7.7,189395.0,60.0
