Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
Blood Simple,R,1984,2.15,"['Crime', ' Drama', ' Thriller']",99,7.6,84713.0
Blow,R,2001,52.99,"['Biography', ' Crime', ' Drama']",124,7.6,235230.0
Blue Velvet,R,1986,8.55,"['Drama', ' Mystery', ' Thriller']",120,7.8,174964.0
Bohemian Rhapsody,PG-13,2018,216.43,"['Biography', ' Drama', ' Music']",134,8.0,428789.0
Sympathy for Mr. Vengeance,R,2002,0.05,"['Crime', ' Drama', ' Thriller']",129,7.6,60526.0
"Spring, Summer, Fall, Winter... and Spring",R,2003,2.38,"['Drama', ' Romance']",103,8.0,75115.0
Bonnie and Clyde,R,1967,0.0,"['Action', ' Biography', ' Crime']",111,7.8,0.0
Boogie Nights,R,1997,26.4,['Drama'],155,7.9,232141.0
"Blood In, Blood Out",R,1993,4.5,"['Crime', ' Drama']",180,8.0,28100.0
Boy A,R,2007,0.11,['Drama'],102,7.6,36332.0
Boyhood,R,2014,25.38,['Drama'],165,7.9,329190.0
Boyz n the Hood,R,1991,57.5,"['Crime', ' Drama']",112,7.7,120626.0
Braveheart,R,1995,75.6,"['Biography', ' Drama', ' History']",178,8.3,937129.0
Brazil,R,1985,9.93,"['Drama', ' Sci-Fi']",132,7.9,183441.0
Breaking the Waves,R,1996,4.04,['Drama'],159,7.8,60734.0
Bridge of Spies,PG-13,2015,72.31,"['Drama', ' History', ' Thriller']",142,7.6,279267.0
Brokeback Mountain,R,2005,83.04,"['Drama', ' Romance']",134,7.7,315291.0
Butch Cassidy and the Sundance Kid,PG,1969,102.31,"['Biography', ' Crime', ' Drama']",110,8.0,198357.0
Once Upon a Time in the West,PG-13,1968,5.32,['Western'],165,8.5,292453.0
Cabaret,PG,1972,42.77,"['Drama', ' Musical']",124,7.8,46838.0
Call Me by Your Name,R,2017,18.1,"['Drama', ' Romance']",132,7.9,195795.0
Capharnaüm,R,2018,1.66,['Drama'],126,8.4,50515.0
Captain America: Civil War,PG-13,2016,408.08,"['Action', ' Adventure', ' Sci-Fi']",147,7.8,639186.0
Captain America: The Winter Soldier,PG-13,2014,259.77,"['Action', ' Adventure', ' Sci-Fi']",136,7.7,714843.0
Captain Fantastic,R,2016,5.88,"['Comedy', ' Drama']",118,7.9,179993.0
Captain Phillips,PG-13,2013,107.1,"['Biography', ' Crime', ' Drama']",134,7.8,409415.0
Carlito's Way,R,1993,36.95,"['Crime', ' Drama', ' Thriller']",144,7.9,195231.0
Casablanca,PG,1942,1.02,"['Drama', ' Romance', ' War']",102,8.5,506514.0
Casino,R,1995,42.44,"['Crime', ' Drama']",178,8.2,448462.0
Casino Royale,PG-13,2006,167.45,"['Action', ' Adventure', ' Thriller']",144,8.0,567202.0
Cast Away,PG-13,2000,233.63,"['Adventure', ' Drama', ' Romance']",143,7.8,506725.0
Catch Me If You Can,PG-13,2002,164.62,"['Biography', ' Crime', ' Drama']",141,8.1,791658.0
Central Station,R,1998,5.6,['Drama'],110,8.0,35098.0
Changeling,R,2008,35.74,"['Biography', ' Crime', ' Drama']",141,7.7,232153.0
Children of Men,R,2006,35.55,"['Drama', ' Sci-Fi', ' Thriller']",109,7.9,452907.0
Chinatown,R,1974,29.2,"['Drama', ' Mystery', ' Thriller']",130,8.2,284394.0
Lady Vengeance,R,2005,0.21,"['Crime', ' Drama', ' Thriller']",115,7.6,69680.0
Chungking Express,PG-13,1994,0.6,"['Comedy', ' Crime', ' Drama']",102,8.1,59199.0
City of God,R,2002,7.56,"['Crime', ' Drama']",130,8.6,682269.0
Cinderella Man,PG-13,2005,61.65,"['Biography', ' Drama', ' History']",144,8.0,172790.0
Citizen Kane,PG,1941,1.59,"['Drama', ' Mystery']",119,8.3,386474.0
City Lights,G,1931,0.02,"['Comedy', ' Drama', ' Romance']",87,8.5,160940.0
Clerks,R,1994,3.15,['Comedy'],92,7.7,208537.0
Close Encounters of the Third Kind,PG,1977,132.09,"['Drama', ' Sci-Fi']",138,7.6,178954.0
Coco,PG,2017,209.73,"['Animation', ' Adventure', ' Family']",105,8.4,345796.0
The Invisible Guest,106 min,2016,0.0,"['Crime', ' Mystery', ' Thriller']",106,8.1,0.0
Control,R,2007,0.87,"['Biography', ' Drama', ' Music']",122,7.7,60405.0
Coraline,PG,2009,75.29,"['Animation', ' Drama', ' Family']",100,7.7,189395.0
Cowboy Bebop: The Movie,115 min,2001,1.0,"['Animation', ' Action', ' Crime']",115,7.9,41659.0
Crash,R,2004,54.58,"['Crime', ' Drama', ' Thriller']",112,7.7,413783.0
Creed,PG-13,2015,109.77,"['Drama', ' Sport']",133,7.6,240334.0
Crimes and Misdemeanors,PG-13,1989,18.25,"['Comedy', ' Drama']",104,7.9,53233.0
"Crna macka, beli macor",R,1998,0.35,"['Comedy', ' Crime', ' Romance']",127,8.1,49586.0
Raise the Red Lantern,PG,1991,2.6,"['Drama', ' History', ' Romance']",125,8.1,28400.0
Dallas Buyers Club,R,2013,27.3,"['Biography', ' Drama']",117,8.0,427282.0
Dancer in the Dark,R,2000,4.18,"['Crime', ' Drama', ' Musical']",140,8.0,99453.0
Dances with Wolves,PG-13,1990,184.21,"['Adventure', ' Drama', ' Western']",181,8.0,233678.0
Dangerous Liaisons,R,1988,34.7,"['Drama', ' Romance']",119,7.6,62826.0
Dark City,R,1998,14.38,"['Mystery', ' Sci-Fi', ' Thriller']",100,7.6,184241.0
Das Boot,R,1981,11.49,"['Adventure', ' Drama', ' Thriller']",149,8.3,224575.0
The Experiment,R,2001,0.14,"['Drama', ' Thriller']",120,7.7,89713.0
The Lives of Others,R,2006,11.29,"['Drama', ' Mystery', ' Thriller']",137,8.4,347009.0
The White Ribbon,R,2009,2.22,"['Drama', ' History', ' Mystery']",144,7.8,66929.0
Dawn of the Planet of the Apes,PG-13,2014,208.55,"['Action', ' Adventure', ' Drama']",130,7.6,405044.0
Days of Heaven,PG,1978,0.0,"['Drama', ' Romance']",94,7.8,0.0
Dazed and Confused,R,1993,7.99,['Comedy'],102,7.6,159847.0
Dead Man,R,1995,1.04,"['Adventure', ' Drama', ' Fantasy']",121,7.6,88180.0
Dead Poets Society,PG,1989,95.86,"['Comedy', ' Drama']",128,8.1,407220.0
Deadpool,R,2016,363.07,"['Action', ' Adventure', ' Comedy']",108,8.0,876521.0
Deadpool 2,R,2018,324.59,"['Action', ' Adventure', ' Comedy']",119,7.7,455622.0
Delicatessen,R,1991,1.79,"['Comedy', ' Crime']",99,7.6,78751.0
Deliverance,R,1972,7.06,"['Adventure', ' Drama', ' Thriller']",109,7.7,96061.0
Wings of Desire,PG-13,1987,3.33,"['Drama', ' Fantasy', ' Romance']",128,8.0,62359.0
The Name of the Rose,R,1986,7.15,"['Crime', ' Drama', ' Mystery']",130,7.7,98860.0
Downfall,R,2004,5.51,"['Biography', ' Drama', ' History']",156,8.2,322819.0
Despicable Me,PG,2010,251.51,"['Animation', ' Comedy', ' Family']",95,7.6,488786.0
Dial M for Murder,PG,1954,0.01,"['Crime', ' Thriller']",105,8.2,151799.0
The Motorcycle Diaries,R,2004,16.76,"['Adventure', ' Biography', ' Drama']",126,7.8,94958.0
Die Hard,R,1988,83.01,"['Action', ' Thriller']",132,8.2,763673.0
Die Hard with a Vengeance,R,1995,100.01,"['Action', ' Adventure', ' Thriller']",128,7.6,355584.0
The Killer,R,1989,0.0,"['Action', ' Crime', ' Drama']",111,7.8,0.0
Dirty Harry,R,1971,35.9,"['Action', ' Crime', ' Thriller']",102,7.7,139663.0
District 9,R,2009,115.65,"['Action', ' Sci-Fi', ' Thriller']",112,7.9,627913.0
Django Unchained,R,2012,162.81,"['Drama', ' Western']",165,8.4,1307901.0
Do the Right Thing,R,1989,27.55,"['Comedy', ' Drama']",120,7.9,84646.0
Doctor Zhivago,PG-13,1965,111.72,"['Drama', ' Romance', ' War']",197,8.0,67843.0
Dog Day Afternoon,R,1975,50.0,"['Biography', ' Crime', ' Drama']",125,8.0,229379.0
Dogville,R,2003,1.53,"['Crime', ' Drama']",178,8.0,134150.0
Donnie Brasco,R,1997,41.91,"['Biography', ' Crime', ' Drama']",127,7.7,269416.0
Donnie Darko,R,2001,1.48,"['Drama', ' Mystery', ' Sci-Fi']",113,8.0,725165.0
Down by Law,R,1986,1.44,"['Comedy', ' Crime', ' Drama']",107,7.8,46521.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,1964,0.28,['Comedy'],95,8.4,438268.0
Drive,R,2011,35.06,"['Crime', ' Drama']",100,7.8,554919.0
Dunkirk,PG-13,2017,188.37,"['Action', ' Drama', ' History']",106,7.9,523637.0
E.T. the Extra-Terrestrial,PG,1982,435.11,"['Family', ' Sci-Fi']",115,7.8,360086.0
East of Eden,PG,1955,0.0,['Drama'],118,7.9,0.0
Eastern Promises,R,2007,17.11,"['Action', ' Crime', ' Drama']",100,7.6,222837.0
Ed Wood,R,1994,5.89,"['Biography', ' Comedy', ' Drama']",127,7.8,162417.0
Edge of Tomorrow,PG-13,2014,100.21,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,582307.0
Edward Scissorhands,PG-13,1990,56.36,"['Drama', ' Fantasy', ' Romance']",105,7.9,435078.0
After the Wedding,R,2006,0.41,['Drama'],120,7.7,31093.0
Pan's Labyrinth,R,2006,37.63,"['Drama', ' Fantasy', ' War']",118,8.2,603545.0
The Secret in Their Eyes,R,2009,6.39,"['Drama', ' Mystery', ' Romance']",129,8.2,186296.0
Empire of the Sun,PG,1987,22.24,"['Action', ' Drama', ' History']",153,7.7,112354.0
A Man Called Ove,PG-13,2015,3.36,"['Comedy', ' Drama', ' Romance']",116,7.7,44419.0
End of Watch,R,2012,41.0,"['Action', ' Crime', ' Drama']",109,7.6,223153.0
Enemy at the Gates,R,2001,51.4,"['Drama', ' History', ' War']",131,7.6,236826.0
Enter the Dragon,R,1973,25.0,"['Action', ' Crime', ' Drama']",102,7.7,93707.0
Escape from Alcatraz,PG,1979,43.0,"['Biography', ' Crime', ' Drama']",112,7.6,115020.0
Eternal Sunshine of the Spotless Mind,R,2004,34.4,"['Drama', ' Romance', ' Sci-Fi']",108,8.3,883021.0
Evil Dead II,R,1987,5.92,"['Comedy', ' Horror']",84,7.8,143837.0
Ex Machina,R,2014,25.44,"['Drama', ' Mystery', ' Sci-Fi']",108,7.7,458542.0
In the Mood for Love,PG,2000,2.73,"['Drama', ' Romance']",98,8.1,117725.0
Falling Down,R,1993,40.9,"['Crime', ' Drama', ' Thriller']",113,7.6,165177.0
Fanny and Alexander,R,1982,4.97,['Drama'],188,8.1,55764.0
Fantasia,G,1940,76.41,"['Animation', ' Family', ' Fantasy']",125,7.8,86282.0
Fantastic Mr. Fox,PG,2009,21.0,"['Animation', ' Adventure', ' Comedy']",87,7.9,191254.0
Fargo,R,1996,24.61,"['Crime', ' Drama', ' Thriller']",98,8.1,596947.0
Fear and Loathing in Las Vegas,R,1998,10.68,"['Adventure', ' Comedy', ' Drama']",118,7.6,253375.0
Ferris Bueller's Day Off,PG-13,1986,70.14,['Comedy'],103,7.8,311229.0
The Celebration,R,1998,1.65,['Drama'],105,8.0,76094.0
Fiddler on the Roof,G,1971,80.5,"['Drama', ' Family', ' Musical']",181,8.0,37896.0
Fight Club,R,1999,37.03,['Drama'],139,8.8,1795475.0
Finding Nemo,G,2003,380.84,"['Animation', ' Adventure', ' Comedy']",100,8.1,922564.0
Finding Neverland,PG,2004,51.68,"['Biography', ' Drama', ' Family']",106,7.7,195698.0
First Blood,R,1982,47.21,"['Action', ' Adventure']",93,7.7,219894.0
Fitzcarraldo,PG,1982,0.0,"['Adventure', ' Drama']",158,8.1,0.0
Flipped,PG,2010,1.75,"['Comedy', ' Drama', ' Romance']",90,7.7,79163.0
Ford v Ferrari,PG-13,2019,117.62,"['Action', ' Biography', ' Drama']",152,8.1,233917.0
Forrest Gump,PG-13,1994,330.25,"['Drama', ' Romance']",142,8.8,1742236.0
The Salesman,PG-13,2016,2.4,"['Drama', ' Thriller']",124,7.8,47964.0
Fried Green Tomatoes,PG-13,1991,82.42,['Drama'],130,7.7,64971.0
Frost/Nixon,R,2008,18.59,"['Biography', ' Drama', ' History']",122,7.7,100830.0
Full Metal Jacket,R,1987,46.36,"['Drama', ' War']",116,8.3,653266.0
Ponyo,G,2008,15.09,"['Animation', ' Adventure', ' Comedy']",101,7.7,118551.0
Gandhi,PG,1982,52.77,"['Biography', ' Drama', ' History']",191,8.0,214374.0
Gangs of Wasseypur,R,2012,0.0,"['Action', ' Crime', ' Drama']",321,8.2,0.0
Gattaca,PG-13,1997,12.34,"['Drama', ' Sci-Fi', ' Thriller']",106,7.8,274234.0
Head-On,R,2004,0.0,"['Drama', ' Romance']",121,7.9,0.0
Get Out,R,2017,176.04,"['Horror', ' Mystery', ' Thriller']",104,7.7,466095.0
Ghostbusters,PG,1984,238.63,"['Action', ' Comedy', ' Fantasy']",105,7.8,344907.0
Giant,G,1956,0.0,"['Drama', ' Western']",201,7.6,0.0
Gifted,PG-13,2017,24.8,['Drama'],101,7.6,94583.0
Parasite,R,2019,53.37,"['Comedy', ' Drama', ' Thriller']",132,8.6,444813.0
Duck You Sucker,PG,1971,0.7,"['Drama', ' War', ' Western']",138,7.6,28892.0
