Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
A Better Life,PG-13,2011,1.76,"Drama,Romance",98,7.2,15058.0,10.0,-82.4
A Bug's Life,G,1998,162.8,"Animation,Adventure,Comedy",95,7.2,260223.0,45.0,261.77777777777777
A Cinderella Story,PG,2004,51.44,"Comedy,Family,Romance",95,5.9,79086.0,19.0,170.73684210526315
A Civil Action,PG-13,1998,56.7,Drama,115,6.6,26937.0,60.0,-5.499999999999996
A Dangerous Method,R,2011,5.7,"Biography,Drama,Romance",99,6.4,96936.0,20.0,-71.50000000000001
A Dog of Flanders,PG,1999,2.15,"Family,Drama",100,6.3,862.0,7.0,-69.28571428571428
A Few Good Men,R,1992,141.34,"Drama,Thriller",138,7.7,227841.0,33.0,328.3030303030303
A Fine Step,PG,2014,22.810000000000002,Drama,111,5.3,48903.0,1.0,-100.0
A Ghost Story,R,2017,1.6,"Drama,Fantasy,Romance",92,6.9,56707.0,0.1,1500.0
A Good Day to Die Hard,R,2013,67.35,"Action,Thriller",98,5.3,194975.0,92.0,-26.79347826086957
A Good Year,PG-13,2006,7.46,"Comedy,Drama,Romance",117,7.0,86496.0,35.0,-78.68571428571428
A Guy Thing,PG-13,2003,15.41,"Comedy,Romance",101,5.6,16378.0,20.0,-22.95
A Haunted House,R,2013,40.04,"Comedy,Fantasy",86,5.0,42677.0,2.5,1501.6
A Haunted House 2,R,2014,17.33,"Comedy,Fantasy",86,4.7,19241.0,4.0,333.24999999999994
A History of Violence,R,2005,31.49,"Drama,Thriller",96,7.4,219528.0,32.0,-1.5937500000000049
A Hologram for the King,R,2016,4.2,"Comedy,Drama,Romance",98,6.1,39119.0,35.0,-88.0
A Home at the End of the World,R,2004,1.03,"Drama,Romance",97,6.7,13057.0,6.5,-84.15384615384615
A League of Their Own,PG,1992,107.53,"Comedy,Drama,Family",128,7.3,90478.0,40.0,168.825
A Little Bit of Heaven,PG-13,2011,0.01,"Comedy,Drama,Fantasy",106,6.3,27368.0,12.5,-99.92
A Lot Like Love,PG-13,2005,21.84,"Comedy,Drama,Romance",107,6.6,66439.0,25.0,-12.64
A Low Down Dirty Shame,R,1994,29.39,"Action,Comedy,Crime",100,6.0,6361.0,10.0,193.9
Tyler Perry's A Madea Christmas,PG-13,2013,52.44,"Comedy,Drama,Romance",100,4.9,5719.0,25.0,109.75999999999999
A Man Apart,R,2003,26.18,"Action,Crime,Drama",109,6.1,44148.0,36.0,-27.27777777777778
A Midnight Clear,R,1992,1.53,"Drama,War",108,7.1,8058.0,5.0,-69.39999999999999
A Mighty Heart,R,2007,9.18,"Biography,Drama,History",108,6.6,26578.0,15.0,-38.800000000000004
A Mighty Wind,PG-13,2003,17.51,"Comedy,Music",91,7.2,25340.0,6.0,191.83333333333337
A Monster Calls,PG-13,2016,3.73,"Adventure,Drama,Family",108,7.5,78046.0,43.0,-91.32558139534885
A Most Violent Year,R,2014,5.74,"Action,Crime,Drama",125,7.0,64619.0,20.0,-71.3
A Most Wanted Man,R,2014,17.24,"Crime,Drama,Thriller",122,6.8,70906.0,15.0,14.933333333333323
A Night at the Roxbury,PG-13,1998,30.32,"Comedy,Music,Romance",82,6.3,55951.0,17.0,78.3529411764706
A Nightmare on Elm Street,R,2010,63.08,"Crime,Drama,Horror",95,5.2,90424.0,35.0,80.22857142857143
A Nightmare on Elm Street,R,2010,63.08,"Crime,Drama,Horror",95,5.2,90424.0,1.8,3404.4444444444443
A Perfect Getaway,R,2009,15.48,"Drama,Mystery,Thriller",98,6.5,66330.0,14.0,10.571428571428575
A Prairie Home Companion,PG-13,2006,20.34,"Comedy,Drama,Music",105,6.7,21605.0,10.0,103.4
A Quiet Place,PG-13,2018,188.02,"Drama,Horror,Sci-Fi",90,7.5,386739.0,17.0,1006.0
A Scanner Darkly,R,2006,5.5,"Animation,Crime,Drama",100,7.1,104707.0,20.0,-72.5
Lemony Snicket's A Series of Unfortunate Events,PG,2004,118.63,"Adventure,Comedy,Family",108,6.8,192266.0,100.0,18.629999999999995
A Serious Man,R,2009,9.19,"Comedy,Drama",106,7.0,129770.0,7.0,31.285714285714278
A Simple Favor,R,2018,53.55,"Comedy,Crime,Drama",117,6.8,116589.0,20.0,167.74999999999997
A Simple Plan,R,1998,16.31,"Crime,Drama,Thriller",121,7.5,61713.0,17.0,-4.0588235294117725
A Simple Wish,PG,1997,8.12,"Comedy,Family,Fantasy",89,5.4,5063.0,28.0,-71.00000000000001
A Single Man,R,2009,9.17,"Drama,Romance",99,7.6,103921.0,7.0,31.0
A Sound of Thunder,PG-13,2005,1.89,"Action,Adventure,Horror",101,4.2,18606.0,80.0,-97.6375
A Thousand Words,PG-13,2012,18.44,"Comedy,Drama",91,5.9,39130.0,40.0,-53.89999999999999
A Time to Kill,R,1996,108.77,"Crime,Drama,Thriller",149,7.5,127595.0,40.0,171.92499999999998
A Walk Among the Tombstones,R,2014,26.31,"Action,Crime,Drama",114,6.5,110229.0,28.0,-6.03571428571429
A Walk in the Woods,R,2015,29.47,"Adventure,Biography,Comedy",104,6.3,23823.0,8.0,268.375
